"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapOfElementsWithFind","extractMapOfElementsWithFind()",""
"passed","Sun Aug 04 12:54:46 GMT 2024","Sun Aug 04 12:54:46 GMT 2024","270","","VideoGameTest","","VideoGameTest","getSingleGame","getSingleGame()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractListOfValuesWithFindAll","extractListOfValuesWithFindAll()",""
"passed","Sun Aug 04 12:54:44 GMT 2024","Sun Aug 04 12:54:45 GMT 2024","842","","VideoGameTest","","VideoGameTest","testVideoGameJSONSchema","testVideoGameJSONSchema()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithHighestNumber","extractSingleValueWithHighestNumber()",""
"passed","Sun Aug 04 12:54:41 GMT 2024","Sun Aug 04 12:54:41 GMT 2024","335","","GPathXMLPathTest","","GPathXMLPathTest","getFirstGameInList","getFirstGameInList()",""
"passed","Sun Aug 04 12:54:42 GMT 2024","Sun Aug 04 12:54:42 GMT 2024","293","","GPathXMLPathTest","","GPathXMLPathTest","getSingleNode","getSingleNode()",""
"passed","Sun Aug 04 12:54:43 GMT 2024","Sun Aug 04 12:54:43 GMT 2024","308","","VideoGameTest","","VideoGameTest","createNewGameByJSON","createNewGameByJSON()",""
"passed","Sun Aug 04 12:54:43 GMT 2024","Sun Aug 04 12:54:44 GMT 2024","260","","VideoGameTest","","VideoGameTest","getAllGames","getAllGames()",""
"passed","Sun Aug 04 12:54:47 GMT 2024","Sun Aug 04 12:54:47 GMT 2024","328","","VideoGameTest","","VideoGameTest","testVideoGameSerializationByJSON","testVideoGameSerializationByJSON()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","FootballTest","","FootballTest","getTeamData","getTeamData()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","FootballTest","","FootballTest","getFirstTeamName","getFirstTeamName()",""
"passed","Sun Aug 04 12:54:44 GMT 2024","Sun Aug 04 12:54:44 GMT 2024","274","","VideoGameTest","","VideoGameTest","updateGame","updateGame()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","FootballTest","","FootballTest","extractFirstTeamName","extractFirstTeamName()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","FootballTest","","FootballTest","getAllTeamData_DoCheckFirst","getAllTeamData_DoCheckFirst()",""
"passed","Sun Aug 04 12:54:36 GMT 2024","Sun Aug 04 12:54:39 GMT 2024","3388","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTestWithEndpoints","myFirstTestWithEndpoints()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","FootballTest","","FootballTest","getTeamDateFounded","getTeamDateFounded()",""
"passed","Sun Aug 04 12:54:46 GMT 2024","Sun Aug 04 12:54:47 GMT 2024","255","","VideoGameTest","","VideoGameTest","deleteGame","deleteGame()",""
"passed","Sun Aug 04 12:54:45 GMT 2024","Sun Aug 04 12:54:45 GMT 2024","280","","VideoGameTest","","VideoGameTest","assertOnResponseTime","assertOnResponseTime()",""
"passed","Sun Aug 04 12:54:43 GMT 2024","Sun Aug 04 12:54:43 GMT 2024","279","","VideoGameTest","","VideoGameTest","captureResponseTime","captureResponseTime()",""
"passed","Sun Aug 04 12:54:45 GMT 2024","Sun Aug 04 12:54:45 GMT 2024","344","","VideoGameTest","","VideoGameTest","testConversionFromJSONToPOJO","testConversionFromJSONToPOJO()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","FootballTest","","FootballTest","extractHeaders","extractHeaders()",""
"passed","Sun Aug 04 12:54:42 GMT 2024","Sun Aug 04 12:54:42 GMT 2024","307","","GPathXMLPathTest","","GPathXMLPathTest","getSingleElementDepthFirstSearch","getSingleElementDepthFirstSearch()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapWithFindAndFindAllWithParameters","extractMapWithFindAndFindAllWithParameters()",""
"passed","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:41 GMT 2024","1086","","GPathXMLPathTest","","GPathXMLPathTest","getXMLNodesWithAttribute","getXMLNodesWithAttribute()",""
"passed","Sun Aug 04 12:54:41 GMT 2024","Sun Aug 04 12:54:41 GMT 2024","313","","GPathXMLPathTest","","GPathXMLPathTest","getAllXMLNodesWithFindAll","getAllXMLNodesWithFindAll()",""
"passed","Sun Aug 04 12:54:39 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","301","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTest","myFirstTest()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithLowestNumber","extractSingleValueWithLowestNumber()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMultiplleValuesAndSumThem","extractMultiplleValuesAndSumThem()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfOneArea","getDetailsOfOneArea()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfMultipleAreas","getDetailsOfMultipleAreas()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","1","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithFind","extractSingleValueWithFind()",""
"passed","Sun Aug 04 12:54:43 GMT 2024","Sun Aug 04 12:54:43 GMT 2024","281","","VideoGameTest","","VideoGameTest","createNewGameByXML","createNewGameByXML()",""
"passed","Sun Aug 04 12:54:45 GMT 2024","Sun Aug 04 12:54:46 GMT 2024","591","","VideoGameTest","","VideoGameTest","testVideoGameXMLSchema","testVideoGameXMLSchema()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","FootballTest","","FootballTest","extractAllTeamNames","extractAllTeamNames()",""
"passed","Sun Aug 04 12:54:42 GMT 2024","Sun Aug 04 12:54:43 GMT 2024","288","","GPathXMLPathTest","","GPathXMLPathTest","getAtrtributes","getAtrtributes()",""
"passed","Sun Aug 04 12:54:41 GMT 2024","Sun Aug 04 12:54:42 GMT 2024","358","","GPathXMLPathTest","","GPathXMLPathTest","getAllNodesBasedOnCondition","getAllNodesBasedOnCondition()",""
"skipped","Sun Aug 04 12:54:40 GMT 2024","Sun Aug 04 12:54:40 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapWithFindAllWithParameters","extractMapWithFindAllWithParameters()",""
